"Symbol: ESH22",,,,,,"Study: VOL",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2022-02-09 10:00:00,4572.75,4575.25,4572.5,4573.75,1.25,6661,
2022-02-09 10:01:00,4573.75,4573.75,4571.5,4571.75,-2,2944,
2022-02-09 10:02:00,4572,4572,4570.5,4571.5,-0.25,2166,
2022-02-09 10:03:00,4571.75,4572.75,4571,4571.75,0.25,1662,
2022-02-09 10:04:00,4571.75,4573.5,4571.25,4573.25,1.5,1983,
2022-02-09 10:05:00,4573.5,4573.5,4571,4571.25,-2,2776,
2022-02-09 10:06:00,4571.25,4571.25,4569.75,4570.75,-0.5,3092,
2022-02-09 10:07:00,4570.75,4571,4568.5,4570.25,-0.5,3271,
2022-02-09 10:08:00,4570.25,4570.5,4568.5,4569.25,-1,3107,
2022-02-09 10:09:00,4569.5,4570.75,4566.25,4567.75,-1.5,3586,
2022-02-09 10:10:00,4567.75,4568.75,4567,4568.5,0.75,1634,
2022-02-09 10:11:00,4568.5,4570,4568.25,4569.5,1,1655,
2022-02-09 10:12:00,4569.5,4570,4569.25,4569.25,-0.25,1757,
2022-02-09 10:13:00,4569.5,4569.5,4562.5,4564.25,-5,9454,
2022-02-09 10:14:00,4564.25,4566.5,4562.25,4564.25,0,5119,
2022-02-09 10:15:00,4564.25,4566.5,4563.75,4565.75,1.5,2047,
2022-02-09 10:16:00,4565.75,4566,4563.5,4564,-1.75,1981,
2022-02-09 10:17:00,4564,4565.75,4563,4565,1,1604,
2022-02-09 10:18:00,4565,4567,4564.75,4566.25,1.25,1590,
2022-02-09 10:19:00,4566.5,4568.25,4566.25,4567,0.75,1961,
2022-02-09 10:20:00,4567,4567.75,4566.25,4567.75,0.75,1219,
2022-02-09 10:21:00,4567.5,4569,4566.75,4568.75,1,1677,
2022-02-09 10:22:00,4568.75,4568.75,4566.5,4567,-1.75,1613,
2022-02-09 10:23:00,4567.25,4570,4567.25,4569.5,2.5,2135,
2022-02-09 10:24:00,4569.75,4569.75,4568.25,4568.5,-1,1328,
2022-02-09 10:25:00,4568.5,4569.75,4567.75,4569.5,1,2034,
2022-02-09 10:26:00,4569.25,4569.25,4566.75,4567.5,-2,1562,
2022-02-09 10:27:00,4567.25,4569.5,4566.5,4569,1.5,1421,
2022-02-09 10:28:00,4568.75,4569.5,4568.25,4568.75,-0.25,1133,
2022-02-09 10:29:00,4568.75,4568.75,4566.5,4566.5,-2.25,1562,
2022-02-09 10:30:00,4566.5,4568.5,4564.5,4565.25,-1.25,3735,
2022-02-09 10:31:00,4565.5,4567,4565.25,4566.25,1,1898,
2022-02-09 10:32:00,4566.25,4566.5,4564,4565.5,-0.75,2601,
2022-02-09 10:33:00,4565.75,4567.75,4565.25,4567,1.5,3477,
2022-02-09 10:34:00,4567.25,4568.25,4565.75,4567.75,0.75,2745,
2022-02-09 10:35:00,4567.75,4569.5,4567,4568.75,1,1887,
2022-02-09 10:36:00,4569,4570,4567.5,4568.5,-0.25,2257,
2022-02-09 10:37:00,4568.5,4568.75,4565,4566.75,-1.75,2029,
2022-02-09 10:38:00,4566.5,4567,4565.5,4566.75,0,1101,
2022-02-09 10:39:00,4566.75,4568.25,4566.5,4568,1.25,1509,
2022-02-09 10:40:00,4568,4569.5,4567.5,4568.25,0.25,1785,
2022-02-09 10:41:00,4568.25,4568.5,4567,4567,-1.25,1186,
2022-02-09 10:42:00,4567,4567.75,4565,4566,-1,1881,
2022-02-09 10:43:00,4566,4567.25,4566,4567,1,1177,
2022-02-09 10:44:00,4566.75,4566.75,4564.5,4565.25,-1.75,1838,
2022-02-09 10:45:00,4565.25,4566.75,4564.75,4566.25,1,1482,
2022-02-09 10:46:00,4566,4567.75,4566,4567,0.75,1561,
2022-02-09 10:47:00,4567,4567.75,4566.5,4567,0,1512,
2022-02-09 10:48:00,4567,4567.75,4566,4567.25,0.25,1040,
2022-02-09 10:49:00,4567.25,4568.25,4567.25,4567.5,0.25,927,
2022-02-09 10:50:00,4567.5,4567.5,4565.75,4566.5,-1,1129,
2022-02-09 10:51:00,4566.75,4568.75,4566.75,4568.5,2,1503,
2022-02-09 10:52:00,4568.5,4569.75,4567,4567.25,-1.25,1723,
2022-02-09 10:53:00,4567.25,4567.25,4565.25,4565.25,-2,1493,
2022-02-09 10:54:00,4565.5,4565.5,4561,4561.5,-3.75,3524,
2022-02-09 10:55:00,4561.75,4562.5,4560,4561.75,0.25,2942,
2022-02-09 10:56:00,4561.75,4564.25,4561.5,4563.25,1.5,2583,
2022-02-09 10:57:00,4563.5,4564.75,4563.25,4564.5,1.25,1694,
2022-02-09 10:58:00,4564.5,4565,4563,4564.25,-0.25,1615,
2022-02-09 10:59:00,4564.25,4565.75,4563.25,4563.75,-0.5,2758,
2022-02-09 11:00:00,4563.75,4564.75,4562.25,4563.25,-0.5,2429,
2022-02-09 11:01:00,4563.25,4564.5,4561.25,4564,0.75,2496,
